"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","23.08.2017 19:00 - 23.08.2017 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2684","","78","2053","n/e","1997","n/e","n/e","20","n/e","n/e","3"
"BZN|CH","23.08.2017 20:00 - 23.08.2017 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2511","","78","1903","n/e","2003","n/e","n/e","1","n/e","n/e","1"
"BZN|CH","23.08.2017 21:00 - 23.08.2017 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1915","","79","1671","n/e","2010","n/e","n/e","0","n/e","n/e","1"
"BZN|CH","23.08.2017 22:00 - 23.08.2017 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","876","","79","1268","n/e","2018","n/e","n/e","0","n/e","n/e","3"
"BZN|CH","23.08.2017 23:00 - 24.08.2017 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","614","","78","1079","n/e","2025","n/e","n/e","0","n/e","n/e","5"
"BZN|CH","24.08.2017 00:00 - 24.08.2017 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","411","","77","707","n/e","2032","n/e","n/e","0","n/e","n/e","5"
"BZN|CH","24.08.2017 01:00 - 24.08.2017 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","354","","77","697","n/e","2035","n/e","n/e","0","n/e","n/e","5"
"BZN|CH","24.08.2017 02:00 - 24.08.2017 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","333","","77","603","n/e","2039","n/e","n/e","0","n/e","n/e","7"
"BZN|CH","24.08.2017 03:00 - 24.08.2017 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","169","","76","564","n/e","2040","n/e","n/e","0","n/e","n/e","10"
"BZN|CH","24.08.2017 04:00 - 24.08.2017 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","157","","76","519","n/e","2043","n/e","n/e","0","n/e","n/e","9"
"BZN|CH","24.08.2017 05:00 - 24.08.2017 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","350","","76","735","n/e","2041","n/e","n/e","0","n/e","n/e","7"
"BZN|CH","24.08.2017 06:00 - 24.08.2017 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","549","","74","1098","n/e","2044","n/e","n/e","1","n/e","n/e","7"
"BZN|CH","24.08.2017 07:00 - 24.08.2017 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1880","","74","1624","n/e","2046","n/e","n/e","15","n/e","n/e","7"
"BZN|CH","24.08.2017 08:00 - 24.08.2017 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1889","","79","1796","n/e","2041","n/e","n/e","51","n/e","n/e","4"
"BZN|CH","24.08.2017 09:00 - 24.08.2017 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2047","","81","1731","n/e","2037","n/e","n/e","97","n/e","n/e","2"
"BZN|CH","24.08.2017 10:00 - 24.08.2017 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2114","","81","1612","n/e","2028","n/e","n/e","134","n/e","n/e","1"
"BZN|CH","24.08.2017 11:00 - 24.08.2017 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1951","","83","1556","n/e","2021","n/e","n/e","163","n/e","n/e","1"
"BZN|CH","24.08.2017 12:00 - 24.08.2017 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1074","","83","1500","n/e","2015","n/e","n/e","165","n/e","n/e","1"
"BZN|CH","24.08.2017 13:00 - 24.08.2017 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","703","","81","1308","n/e","2009","n/e","n/e","150","n/e","n/e","5"
"BZN|CH","24.08.2017 14:00 - 24.08.2017 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","755","","78","1257","n/e","2006","n/e","n/e","117","n/e","n/e","14"
"BZN|CH","24.08.2017 15:00 - 24.08.2017 16:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","","78","1303","n/e","2009","n/e","n/e","73","n/e","n/e","24"
"BZN|CH","24.08.2017 16:00 - 24.08.2017 17:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","730","","76","1200","n/e","2030","n/e","n/e","39","n/e","n/e","14"
"BZN|CH","24.08.2017 17:00 - 24.08.2017 18:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1472","","76","1744","n/e","2036","n/e","n/e","25","n/e","n/e","10"
"BZN|CH","24.08.2017 18:00 - 24.08.2017 19:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2234","","76","2081","n/e","2040","n/e","n/e","20","n/e","n/e","10"
"BZN|CH","24.08.2017 19:00 - 24.08.2017 20:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2691","","79","2201","n/e","2039","n/e","n/e","11","n/e","n/e","11"
"BZN|CH","24.08.2017 20:00 - 24.08.2017 21:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2574","","83","1984","n/e","2040","n/e","n/e","1","n/e","n/e","8"
"BZN|CH","24.08.2017 21:00 - 24.08.2017 22:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2174","","85","1843","n/e","2044","n/e","n/e","0","n/e","n/e","7"
"BZN|CH","24.08.2017 22:00 - 24.08.2017 23:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1202","","85","1337","n/e","2046","n/e","n/e","0","n/e","n/e","9"
"BZN|CH","24.08.2017 23:00 - 25.08.2017 00:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","439","","85","798","n/e","2049","n/e","n/e","0","n/e","n/e","11"
"BZN|CH","25.08.2017 00:00 - 25.08.2017 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","407","","80","873","n/e","2053","n/e","n/e","0","n/e","n/e","14"
"BZN|CH","25.08.2017 01:00 - 25.08.2017 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","371","","76","692","n/e","2056","n/e","n/e","0","n/e","n/e","15"
