"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","04.01.2017 21:00 - 04.01.2017 22:00 (CET)","314","n/e","n/e","120","585","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","276","321"
"BZN|DK2","04.01.2017 22:00 - 04.01.2017 23:00 (CET)","318","n/e","n/e","120","556","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","286","280"
"BZN|DK2","04.01.2017 23:00 - 05.01.2017 00:00 (CET)","325","n/e","n/e","120","513","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","64","303","292"
"BZN|DK2","05.01.2017 00:00 - 05.01.2017 01:00 (CET)","316","n/e","n/e","120","500","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","274","276"
"BZN|DK2","05.01.2017 01:00 - 05.01.2017 02:00 (CET)","320","n/e","n/e","120","565","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","245","249"
"BZN|DK2","05.01.2017 02:00 - 05.01.2017 03:00 (CET)","319","n/e","n/e","120","574","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","233","260"
"BZN|DK2","05.01.2017 03:00 - 05.01.2017 04:00 (CET)","306","n/e","n/e","121","573","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","255","239"
"BZN|DK2","05.01.2017 04:00 - 05.01.2017 05:00 (CET)","323","n/e","n/e","120","564","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","246","235"
"BZN|DK2","05.01.2017 05:00 - 05.01.2017 06:00 (CET)","283","n/e","n/e","121","562","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","256","233"
"BZN|DK2","05.01.2017 06:00 - 05.01.2017 07:00 (CET)","323","n/e","n/e","133","546","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","242","220"
"BZN|DK2","05.01.2017 07:00 - 05.01.2017 08:00 (CET)","326","n/e","n/e","141","634","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","213","274"
"BZN|DK2","05.01.2017 08:00 - 05.01.2017 09:00 (CET)","329","n/e","n/e","214","661","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","208","244"
"BZN|DK2","05.01.2017 09:00 - 05.01.2017 10:00 (CET)","329","n/e","n/e","238","634","17","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","67","182","230"
"BZN|DK2","05.01.2017 10:00 - 05.01.2017 11:00 (CET)","293","n/e","n/e","243","658","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","65","178","246"
"BZN|DK2","05.01.2017 11:00 - 05.01.2017 12:00 (CET)","283","n/e","n/e","261","693","5","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","68","184","241"
