Scenario,Region,Year,Parameter,Unit,Value,Source,Comment
ALL,CH_FR,ALL,Transmission_Length_Electricity_Grid,km,318,Own GIS calculations,
ALL,CH_IT,ALL,Transmission_Length_Electricity_Grid,km,496,Own GIS calculations,
ALL,CZ_PL,ALL,Transmission_Length_Electricity_Grid,km,349,Own GIS calculations,
ALL,DE_AT,ALL,Transmission_Length_Electricity_Grid,km,444,Own GIS calculations,
ALL,DE_BE,ALL,Transmission_Length_Electricity_Grid,km,323,Own GIS calculations,
ALL,DE_CH,ALL,Transmission_Length_Electricity_Grid,km,494,Own GIS calculations,
ALL,DE_CZ,ALL,Transmission_Length_Electricity_Grid,km,314,Own GIS calculations,
ALL,DE_DK,ALL,Transmission_Length_Electricity_Grid,km,540,Own GIS calculations,
ALL,DE_FR,ALL,Transmission_Length_Electricity_Grid,km,669,Own GIS calculations,
ALL,DE_LU,ALL,Transmission_Length_Electricity_Grid,km,282,Own GIS calculations,
ALL,DE_NL,ALL,Transmission_Length_Electricity_Grid,km,297,Own GIS calculations,
ALL,DE_PL,ALL,Transmission_Length_Electricity_Grid,km,514,Own GIS calculations,
ALL,DK_NL,ALL,Transmission_Length_Electricity_Grid,km,481,Own GIS calculations,
ALL,FR_IT,ALL,Transmission_Length_Electricity_Grid,km,676,Own GIS calculations,
ALL,FR_LU,ALL,Transmission_Length_Electricity_Grid,km,409,Own GIS calculations,
ALL,ALL,ALL,Transmission_LifeTime_Electricity_Grid,a,40,Dena 2014,p.35
ALL,ALL,ALL,Transmission_Losses_Electricity_Grid,percent/ 100 km,2,BNetzA 2012,
ALL,ALL,ALL,Transmission_VarOM_Electricity_Grid,Eur/MWh*km,0.01,Own assumption ,
ALL,ALL,ALL,Transport_BatteryCap_Electricity_Cars,GWh_el/Car,0.000022,Own assumption ,
ALL,ALL,ALL,Transport_ConnecPower_Electricity_Cars,MW/Car,0.0085,LucaDeTena 2018,
ALL,ALL,ALL,Transport_EtaFeedIn_Electricity_Cars,percent,95,LucaDeTena 2018,
ALL,ALL,ALL,Transport_EtaLoad_Electricity_Cars,percent,100,Own assumption ,
ALL,ALL,ALL,Transport_VarOMChargeControl_Electricity_Cars,Eur/GWh (el),5000,Own assumption ,
ALL,ALL,ALL,Transport_VarOMGridFeedIn_Electricity_Cars,Eur/GWh (el),25000,Own assumption ,
