commissioned;ST_uranium;ST_lignite;ST_hardcoal;CC_natgas;M_natgas;ST_natgas;GT_natgas;M_oil;ST_oil;GT_oil;CC_oil;ST_biomass;GT_biomass;water;ST_mixedfuels;ST_otherfossil;GT_otherfossil;ST_waste
2015;0,33;0,436;0,4625;0,6075;0,463;0,4015;0,419;0,463;0,4015;0,419;0,6075;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2016;0,33;0,4384;0,465;0,612;0,4644;0,4026;0,4216;0,4644;0,4026;0,4216;0,612;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2017;0,33;0,4408;0,4675;0,6165;0,4658;0,4037;0,4242;0,4658;0,4037;0,4242;0,6165;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2018;0,33;0,4432;0,47;0,621;0,4672;0,4048;0,4268;0,4672;0,4048;0,4268;0,621;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2019;0,33;0,4456;0,4725;0,6255;0,4686;0,4059;0,4294;0,4686;0,4059;0,4294;0,6255;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2020;0,33;0,448;0,475;0,63;0,47;0,407;0,432;0,47;0,407;0,432;0,63;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2021;0,33;0,4504;0,4775;0,6345;0,4714;0,4081;0,4346;0,4714;0,4081;0,4346;0,6345;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2022;0,33;0,4528;0,48;0,639;0,4728;0,4092;0,4372;0,4728;0,4092;0,4372;0,639;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2023;0,33;0,4552;0,4825;0,6435;0,4742;0,4103;0,4398;0,4742;0,4103;0,4398;0,6435;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2024;0,33;0,4576;0,485;0,648;0,4756;0,4114;0,4424;0,4756;0,4114;0,4424;0,648;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2025;0,33;0,46;0,4875;0,6525;0,477;0,4125;0,445;0,477;0,4125;0,445;0,6525;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2026;0,33;0,4624;0,49;0,657;0,4784;0,4136;0,4476;0,4784;0,4136;0,4476;0,657;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2027;0,33;0,4648;0,4925;0,6615;0,4798;0,4147;0,4502;0,4798;0,4147;0,4502;0,6615;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2028;0,33;0,4672;0,495;0,666;0,4812;0,4158;0,4528;0,4812;0,4158;0,4528;0,666;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2029;0,33;0,4696;0,4975;0,6705;0,4826;0,4169;0,4554;0,4826;0,4169;0,4554;0,6705;0,38;0,38;0,9;0,4;0,4;0,4;0,4
2030;0,33;0,472;0,5;0,675;0,484;0,418;0,458;0,484;0,418;0,458;0,675;0,38;0,38;0,9;0,4;0,4;0,4;0,4
