label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
DE_transformer_hardcoal_BNA1093,BNA1093,394.8589,hardcoal,DE,0.433,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1331,BNA1331,15.8947,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1405a,BNA1405a,17.3169,hardcoal,DE,0.405,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1508,BNA1508,614.8756,hardcoal,DE,0.4595,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1558,BNA1558,669.2524,hardcoal,DE,0.465,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1673,BNA1673,669.2524,hardcoal,DE,0.4625,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA1674,BNA1674,611.5294,hardcoal,DE,0.4625,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_lignite_BNA0115,BNA0115,887.9551,lignite,DE,0.43,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0116,BNA0116,887.9551,lignite,DE,0.43,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0122,BNA0122,471.8847,lignite,DE,0.35,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0123,BNA0123,471.8847,lignite,DE,0.35,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0124,BNA0124,869.6886,lignite,DE,0.42,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0177,BNA0177,57.641,lignite,DE,0.395,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0179,BNA0179,92.1444,lignite,DE,0.385,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0183,BNA0183,75.0956,lignite,DE,0.4158,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0196,BNA0196,67.992,lignite,DE,0.4175,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0292,BNA0292,178.6058,lignite,DE,0.3712,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0491,BNA0491,99.451,lignite,DE,0.376,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0523,BNA0523,33.996,lignite,DE,0.375,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0543,BNA0543,76.4149,lignite,DE,0.558,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0696,BNA0696,298.3529,lignite,DE,0.33,emb,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0697,BNA0697,298.3529,lignite,DE,0.33,emb,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0699,BNA0699,615.9871,lignite,DE,0.366,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0700,BNA0700,612.9427,lignite,DE,0.366,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0705,BNA0705,301.3973,lignite,DE,0.358,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
DE_transformer_lignite_BNA0707,BNA0707,657.5942,lignite,DE,0.37,chp,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el
